code,system
B111z00,readv2
B111.00,readv2
B111000,readv2
B110000,readv2
B110z00,readv2
B110.00,readv2
B113.00,readv2
B114.00,readv2
B11y100,readv2
B11..00,readv2
B117.00,readv2
B11z.00,readv2
B11y000,readv2
C16,readv2
B110111,readv2
B110100,readv2
B11y.00,readv2
B116.00,readv2
B115.00,readv2
B11yz00,readv2
B119.00,readv2
B118.00,readv2
B112.00,readv2
B111100,readv2
ZV10018,readv2
49447.0,readv2
22894.0,readv2
14800.0,readv2
48237.0,readv2
94278.0,readv2
42193.0,readv2
100584.0,readv2
21620.0,readv2
37859.0,readv2
55434.0,readv2
96094.0,readv2
32022.0,readv2
19318.0,readv2
96802.0,readv2
41215.0,readv2
65312.0,readv2
97499.0,readv2
65372.0,readv2
59092.0,readv2
51690.0,readv2
43572.0,readv2
8386.0,readv2
32362.0,readv2
55019.0,readv2